railroad,symbol,yard,kind,block,next_train,members,resolved,yard_ids,unresolved
BNSF,CRLBEL1-##A,2155,at,Loaded Mineral,,grouped by destination,,,
BNSF,CRLBEL1-##A,2155,at,Belen,,"Phoenix area, El Paso, Albuquerque",id:1345 id:1536 id:1537 id:1565 id:2707 id:1779 id:1799 id:2099 id:1032,,
BNSF,CRLBEL1-##A,2155,at,Barstow,H-BELBAR or any Barstow bound manifest,"CA, OR",st:CA st:OR,,
BNSF,CHEDEN1-##A,2844,at,Denver 38th St.,,"south, east, CA, NV, UT",id:1008 id:1121 id:1466 id:1628 id:1658 id:1700 id:2241 id:2402 id:2480 id:2490 id:2708 id:2999 id:1588 st:CA st:NV st:UT,,
BNSF,CHEGRW1-##A,2844,at,Greybull,,"Bonneville, Frannie",id:3041 id:3042,,
BNSF,CHELAU1-##A,Greybull,at,Greybull,,"Bonneville, Frannie",id:3041 id:3042,1590,
BNSF,CHELAU1-##A,Greybull,at,Laurel,,"AK, MT, Pacific Northwest, western Canada",st:AK st:MT st:WA st:OR st:ID,1590,western Canada
BNSF,DENKCK1-##A,Pueblo BNSF,at,Pueblo,,,id:3323 id:3324 id:3328 id:3329,3323,
BNSF,DENKCK1-##A,Pueblo BNSF,at,Kansas City,,,id:1059 id:1169 id:1200 id:1214 id:1218 id:1227 id:1229 id:1301 id:1620 id:1817 id:1889 id:2011,3323,
BNSF,DENKCK1-##A,Pueblo BNSF,at,Empty Autoracks,,grouped by destination,,3323,
BNSF,DENPUE1-##A,Colorado Springs Kelker UP,at,Pueblo,,"Minnequa, Bragdon, Walsenburg, Rio Grande Cement, Baxter, Parkdale",id:3328 id:3329 id:3326 id:3332 id:3333 id:3330 id:3331 id:3325 id:3327,3318,
BNSF,DENPUE1-##A,Colorado Springs Kelker UP,at,Kansas City carryover,,,,3318,Kansas City carryover
BNSF,LVJEVE1-##A,Tacoma BNSF Yard,at,Tacoma,,,id:1502 id:1503 id:1554 id:1555 id:2626 id:2710 id:2711 id:2712 id:2714 id:3286 id:3287 id:3288,1503,
BNSF,LVJEVE1-##A,Tacoma BNSF Yard,at,Seattle,,,id:1481 id:1538 id:1803 id:2008,1503,
BNSF,LVJEVE1-##A,Tacoma BNSF Yard,at,Everett,,,id:1155,1503,
BNSF,WLMNTW1-##A,1570,at,Northtown,,"East Coast, Canada east of Lake Superior",,,East Coast; Canada east of Lake Superior
BNSF,WLMLIN1-##A,1570,at,Sioux City,,,id:1351 id:2610 id:2611 id:2612 id:2613,,
BNSF,WLMLIN1-##A,1570,at,Lincoln,,,id:1292 id:1293,,
BNSF,SUPNTW1-##A,1855,at,Northtown,,,id:1593,,
BNSF,WICKCK1-##A,Emporia,at,Emporia,,"Dodge City, Ensign, Pueblo, Denver and connections",id:2281 id:2282 id:3323 id:3324 id:3328 id:3329,1275,Denver and connections
BNSF,WICKCK1-##A,Emporia,at,Kansas CIty Argentine,,"Galesburg, Lincoln, West Quincy",id:2100 id:1292 id:1293 id:1901,1275,
BNSF,SWELAU1-##A,Shelby,at,Shelby,,"BNSF ND, MN, WI, OR, WA",rr:BNSF:ND st:MN st:WI st:OR st:WA,2884,
BNSF,SWELAU1-##A,Shelby,at,Laurel,,,id:1894,2884,
BNSF,WLMKCK1-##A,Sioux City BNSF,at,Sioux City BNSF,,,id:1351,1351,
BNSF,WLMKCK1-##A,Sioux City BNSF,at,St. Joseph BNSF Manifest,,,id:1310,1351,
BNSF,WLMKCK1-##A,Sioux City BNSF,at,Kansas City Argentine Manifest,,,id:1620,1351,
BNSF,TACVBT1-##A,Everett Delta Yard,at,Everett,,CPKC connections,,1155,
BNSF,TACVBT1-##A,Everett Delta Yard,at,Brownsville,,BNSF Tilbury and SRY connections; no garbage wells,,1155,BNSF Tilbury and SRY connections; no garbage wells
BNSF,TACVBT1-##A,Everett Delta Yard,at,Vancouver Thornton,,CN connections,,1155,
BNSF,TEAEGW1-##A,2147,at,Englewood,,,id:1372 id:3784,,
BNSF,WLMBRC3-##A,1570,at,Chicago Clearing Yard,,,id:1473,,
BNSF,WLMBRE1-##A,1570,at,Breckenridge,,,id:1605,,
BNSF,WLMSIO1-##A,1570,at,Sioux City,,,id:1351 id:2610 id:2611 id:2612 id:2613,,
BNSF,WLMMEM4-##A,1570,at,Galesburg,,if needed,,,
BNSF,WLMMEM4-##A,1570,at,Memphis,,"western TN, AL, FL, GA, LA, MS",st:AL st:FL st:GA st:LA st:MS,,western TN
BNSF,SUPGAL1-##A,Minneapolis Northtown Yard,at,Northtown,,,id:1593,1593,
BNSF,SUPGAL1-##A,Minneapolis Northtown Yard,at,Galesburg,,,id:2100,1593,
BNSF,TULBEL1-##A,2184,at,Loaded Autoracks,,"Albuquerque, El Mirage, El Paso, Mexico El Paso Gateway BNSF; grouped by destination",id:1032 id:1686 id:1779 id:1799 id:2099,,Mexico El Paso Gateway BNSF; grouped by destination
BNSF,TULBEL1-##A,2184,at,Belen,,,id:1135,,
BNSF,TULBEL1-##A,2184,at,Barstow,,Southern Transcon,,,Southern Transcon
BNSF,GUPBEL1-##A,1252,at,Belen,,all eastbound manifest,,,all eastbound
BNSF,EVEPAS1-##A,Centralia BNSF,at,Centralia,,"Chehalis, Frederickson, PSAP",id:3337 id:1517 rr:PSAP,3335,
BNSF,EVEPAS1-##A,Centralia BNSF,at,Pasco,,,id:1573,3335,
BNSF,EVEABN1-##A,Tacoma BNSF Yard,at,Tacoma,,,id:1502 id:1503 id:1554 id:1555 id:2626 id:2710 id:2711 id:2712 id:2714 id:3286 id:3287 id:3288,1503,
BNSF,EVEABN1-##A,Tacoma BNSF Yard,at,Vancouver,,,id:1587 id:1597 id:1613 id:1616 id:1621 id:1622 id:1663 id:1702 id:1854 id:2065 id:2854 id:3056,1503,
BNSF,EVEABN1-##A,Tacoma BNSF Yard,at,Albina,,"OR except PNWR and BNSF, other UP connections",,1503,OR except PNWR and BNSF; other UP connections
BNSF,KCKBEL1-##A,Amarillo South Yard BNSF,at,Loaded Autoracks,,"Albuquerque, El Paso, El Mirage grouped by destination",id:1032 id:1779 id:1799 id:2099,1716,El Mirage grouped by destination
BNSF,KCKBEL1-##A,Amarillo South Yard BNSF,at,Belen Manifest,,,id:1135,1716,
BNSF,KCKBEL1-##A,Amarillo South Yard BNSF,at,Amarillo,,"Amarillo area, Bovina, Clovis, Dalhart, Hereford",id:1394 id:1443 id:1716 id:2632 id:2633 id:3126 id:3127 id:3128 id:3129 id:2688 id:1040 id:3715 id:3716 id:1501,1716,
BNSF,PUEKCK1-##A,3323,at,Kansas City,,,id:1059 id:1169 id:1200 id:1214 id:1218 id:1227 id:1229 id:1301 id:1620 id:1817 id:1889 id:2011,,
BNSF,PUEDEN1-##A,3323,at,Denver,,,id:1718 id:1769 id:1770 id:1800 id:1976 id:1977 id:1978 id:1979 id:1980 id:1981 id:2407,,
BNSF,PUEDDC1-##A,3323,at,Dodge City,,,id:2281,,
BNSF,KCKPUE1-##A,1620,at,Pueblo,,"Minnequa, Bragdon, Walsenburg, Rio Grande Cement, Baxter, Parkdale",id:3328 id:3329 id:3326 id:3332 id:3333 id:3330 id:3331 id:3325 id:3327,,
BNSF,KCKPUE1-##A,1620,at,Denver,,overflow traffic only,catchall,,
BNSF,LYDVBT1-##A,Everett Delta Yard,at,Everett,H-EVEVBC1,"CP in AB, BC, MB, SK",rr:CPKC:AB st:BC st:MB st:SK,1155,
BNSF,LYDVBT1-##A,Everett Delta Yard,at,Brownsville,,"Tilbury Island, SRY",id:3974 rr:SRY,1155,
BNSF,LYDVBT1-##A,Everett Delta Yard,at,Thornton,,"CN in AB, BC, MB, SK",st:BC st:MB st:SK,1155,CN in AB
BNSF,NEWGAL1-##A,1275,at,Galesburg,,,id:2100,,
BNSF,OKCTUL1-##A,2200,at,Tulsa,,,id:2184 id:3038 id:3039,,
BNSF,OKCNYF1-##A,2200,at,Ft. Worth North Yard,,"FWWR, UP in TX, AR",rr:FWWR st:AR,,UP in TX
BNSF,OKCNYF1-##A,2200,at,Houston,H-NYFTEA/H-TEAEGW1,UP in LA,,,UP in LA
BNSF,OKCALT1-##A,2200,at,Alliance,,"CPKC in AR, LA, MS, TX; Temple, San Antonio, Houston",st:LA st:MS id:2239 id:2242 id:3118 id:3119 id:3432 id:1372 id:1374 id:1378 id:1383 id:1460 id:1812 id:1878 id:1879 id:1880 id:1935 id:1936 id:1937,,CPKC in AR; TX; Temple
BNSF,NEWLIN1-##A,1275,at,Lincoln,,,id:1292 id:1293,,
BNSF,NTWKCK1-##A,Willmar,at,Willmar,,,id:1570,1570,
BNSF,NTWKCK1-##A,Willmar,at,Sioux City,,,id:1351 id:2610 id:2611 id:2612 id:2613,1570,
BNSF,NTWKCK1-##A,Willmar,at,Kansas City,,,id:1059 id:1169 id:1200 id:1214 id:1218 id:1227 id:1229 id:1301 id:1620 id:1817 id:1889 id:2011,1570,
BNSF,NTWLAU1-##A,Dilworth,at,Laurel Autoracks,,,id:1894 class:auto,1586,
BNSF,NTWLAU1-##A,Dilworth,at,Dilworth,,,id:1586,1586,
BNSF,NTWLAU1-##A,Dilworth,at,Mandan,,,id:1584,1586,
BNSF,NTWLAU1-##A,Dilworth,at,Laurel,,,id:1894,1586,
BNSF,LINDEN1-##A,Brush,at,Brush,,"Fort Morgan, Bridgeport, Gurley, Pawnee, Sidney BNSF",id:3840 id:1184 id:2090 id:3841 id:2074,1452,
BNSF,LINDEN1-##A,Brush,at,Denver,,,id:1718 id:1769 id:1770 id:1800 id:1976 id:1977 id:1978 id:1979 id:1980 id:1981 id:2407,1452,
BNSF,NEWDDC1-##A,1275,at,Dodge City,,Ensign,id:2282,,
BNSF,NYFTUL1-##A,1904,at,Tulsa,,,id:2184 id:3038 id:3039,,
BNSF,NYFTEA1-##A,1904,at,Teague,,,id:2147,,
BNSF,NYFTEA1-##A,1904,at,Houston,,,id:1372 id:1374 id:1378 id:1383 id:1460 id:1812 id:1878 id:1879 id:1880 id:1935 id:1936 id:1937,,
BNSF,OKCSPM1-##A,2200,at,Springfield,,"MNA, Memphis",rr:MNA id:1165 id:1172 id:1435 id:1445 id:1446 id:1449 id:1450 id:1921 id:1923 id:1983 id:2076 id:2915,,
BNSF,OKCSPM1-##A,2200,at,Springfield,,St. Louis,id:1004 id:1277 id:1562 id:1736 id:2045 id:2174 id:2391 id:3617,,
BNSF,OKCSPM1-##A,2200,at,Empty Autoracks,,grouped by destination,,,
BNSF,MANLAU1-##A,1584,at,Laurel,,"AB, AK, AZ, BC, CA, CO, ID, MT, NE, NM, NV, OR, UT, WA, WY",st:AB st:AK st:AZ st:BC st:CA st:CO st:ID st:MT st:NE st:NM st:NV st:OR st:UT st:WA st:WY not:RCPE,,
BNSF,LVJSPO1-##A,3645,at,Spokane,,"Chewelah, Couer d'Alene, Lind, CO, KS, MT, NE, TX, WY",id:2838 id:3460 id:2837 st:CO st:KS st:MT st:NE st:TX st:WY not:RCPE,,
BNSF,NSILAL1-##A,1426,at,Lafayette,,,id:3879,,
BNSF,OKCSAG1-##A,2200,at,Saginaw BNSF,,,id:3530,,
BNSF,RSSHVR1-##A,2326,at,Shelby,,,id:2884,,
BNSF,SPOPAS1-##A,1742,at,Pasco,,,id:1573,,
BNSF,ROOEVE1-##A,Centralia BNSF,at,Centralia BNSF,,No UP garbage,,3335,No UP garbage
BNSF,ROOEVE1-##A,Centralia BNSF,at,Everett Local,,,,3335,Everett Local
BNSF,ROOEVE1-##A,Centralia BNSF,at,Everett,H-EVEVBC1,Vancouver Fraser Surrey,,3335,Vancouver Fraser Surrey
BNSF,SLADEN1-##A,Amarillo North Yard BNSF,at,Pueblo,,"Baxter, Bragdon, Colorado Springs, Minnequa, Parkdale, Walsenburg",id:3325 id:3326 id:1129 id:3328 id:3329 id:3327 id:3332 id:3333,1394,
BNSF,SLADEN1-##A,Amarillo North Yard BNSF,at,Denver,,"CO, NV, UT, WY",st:CO st:NV st:UT st:WY not:RCPE,1394,
BNSF,SHMLAU1-##A,2884,at,Laurel,,,id:1894,,
BNSF,SEAPAS1-##A,2008,at,Pasco,,,id:1573,,
BNSF,RRBRIC1-##A,Stockton Mormon Yard,at,Richmond Manifest,,,id:3905,1353,
BNSF,RRBRIC1-##A,Stockton Mormon Yard,at,Empty Autoracks,,Richmond only,id:3905,1353,
BNSF,SAGOKC1-##A,3530,at,Oklahoma City GM Yard Loaded Autoracks,,,id:3060 class:auto class:loaded,,
BNSF,SAGOKC1-##A,3530,at,Oklahoma City,,,id:2200 id:3060,,
SHORTLINE,CBBI-##,Silvis,at,Des Moines,,"Des Moines/Grimes traffic, UP/NS/BNSF ic traffic",,2129,Des Moines/Grimes traffic; UP/NS/BNSF ic traffic
SHORTLINE,CBBI-##,Silvis,at,Newton,,Newton/Altoona traffic,,2129,Newton/Altoona traffic
SHORTLINE,CBBI-##,Silvis,at,South Amana,,"Cedar Rapids traffic, CN( former IANR) traffic",,2129,Cedar Rapids traffic; CN( former IANR) traffic
SHORTLINE,CBBI-##,Silvis,at,Silvis,,"CP/BNSF ic traffic, IAIS traffic for Peoria/Pekin/Iowa City, Ethanol block to CSX/NS",,2129,CP/BNSF ic traffic; IAIS traffic for Peoria/Pekin/Iowa City; Ethanol block to
SHORTLINE,CBBI-##,Silvis,at,Chicago,,All traffic for Chicago and eastwards,,2129,
SHORTLINE,BICB-##,Council Bluffs IAIS Yard,at,Silvis,,"CP/BNSF ic traffic, IAIS traffic for Peoria/Pekin/Iowa City",,1115|2583,CP/BNSF ic traffic; IAIS traffic for Peoria/Pekin/Iowa City
SHORTLINE,BICB-##,Council Bluffs IAIS Yard,at,South Amana,,"Cedar Rapids traffic, CN( former IANR) traffic",,1115|2583,Cedar Rapids traffic; CN( former IANR) traffic
SHORTLINE,BICB-##,Council Bluffs IAIS Yard,at,Newton,,Newton/Altoona traffic,,1115|2583,Newton/Altoona traffic
SHORTLINE,BICB-##,Council Bluffs IAIS Yard,at,Des Moines,,"Des Moines/Grimes traffic, UP/NS/BNSF ic traffic",,1115|2583,Des Moines/Grimes traffic; UP/NS/BNSF ic traffic
SHORTLINE,BICB-##,Council Bluffs IAIS Yard,at,Council Bluffs,,Council Bluffs area and any westward traffic for BNSF/UP,,1115|2583,Council Bluffs area and any westward traffic for
SHORTLINE,301-##,1364,at,MER traffic,,,,,MER traffic
SHORTLINE,301-##,1364,at,Pilsbury Siding traffic,,,,,Pilsbury Siding traffic
SHORTLINE,XO-1-##,2057,at,VTR interchange traffic,,,,,VTR interchange traffic
SHORTLINE,XO-1-##,2057,at,BKRR interchange traffic,,,,,BKRR interchange traffic
SHORTLINE,Clinton Job-##,Massillon Energy & Tech Park,at,Loaded hoppers/gondolas for Massillon Energy.,,,,3836,Loaded hoppers/gondolas for Massillon Energy
SHORTLINE,Clinton Job-##,Massillon Energy & Tech Park,at,CSX interchange cars,,,,3836,CSX interchange cars
SHORTLINE,Clinton Job-##,Massillon Energy & Tech Park,at,NS interchange cars,,,,3836,NS interchange cars
UP,MICH-##,Milpitas,leaving,West Chicago autoracks,,,id:2028 id:2029 id:2451 class:auto,1213,
UP,MICH-##,Milpitas,leaving,Loaded autoracks for CSX Oak Island NJ,,,class:auto,1213,CSX Oak Island NJ
UP,MICH-##,Milpitas,leaving,Rolla Autos,MNPDV,,id:1917 class:auto,1213,
UP,MICH-##,Milpitas,leaving,Mesquite Autos,ILTLB,,id:1845 class:auto,1213,
UP,MICH-##,Cheyenne/North Platte,added at,NS Empty Autoracks,,Empty autoracks for NS plants in MI/OH/IN,class:auto,1874|2844|1683,Empty autoracks for NS plants in MI/OH/IN
UP,SPLD%-##,Westfield,leaving,San Antonio Emtpy Autos,,Empty autoracks for San Antonio TMMTX,class:auto,1375,Empty autoracks for San Antonio TMMTX
UP,SPLD%-##,Westfield,leaving,Mexico Laredo Empty Autos,,Empty Autoracks for Mexico Laredo UP,class:auto,1375,Empty Autoracks for Mexico Laredo UP
UP,MICX-##,Milpitas,leaving,West Chicago autoracks,,,id:2028 id:2029 id:2451 class:auto,1213,
UP,MICX-##,Milpitas,leaving,Loaded autoracks for CSX Oak Island NJ,,,class:auto,1213,CSX Oak Island NJ
UP,MICX-##,Milpitas,leaving,Rolla Autos,MNPDV,,id:1917 class:auto,1213,
UP,MICX-##,Milpitas,leaving,Mesquite Autos,ILTLB,,id:1845 class:auto,1213,
UP,MICX-##,Cheyenne/North Platte,added at,NS Empty Autoracks,MBEBE,Empty autoracks for NS plants in MI/OH/IN,class:auto,1874|2844|1683,Empty autoracks for NS plants in MI/OH/IN
UP,NYNS%-##,North Yard,leaving,NS Empty Autos,,"Empty autoracks for Toledo AA, Shelbyville, Roanoke GM, Sterling Heights, Lafayette",class:auto id:3581 id:1381 id:1366 id:1532 id:1534 id:1535 id:3224,,Empty autoracks for Toledo AA
UP,NYNS-##,Rolla,leaving,NS Empty Autos,,"Empty autoracks, grouped by destination, for NS/AA/CRMI auto facilities",class:auto class:auto,1917,Empty; for NS/AA/CRMI auto facilities
UP,SPLDR-##,Westfield,leaving,Mexico Laredo Empty Autos,,Empty Autoracks for Mexico Laredo UP,class:auto,1375,Empty Autoracks for Mexico Laredo UP
UP,SPEGR-##,Westfield,leaving,Mexico Eagle Pass Empty Autos,,Empty Autoracks for Mexico Eagle Pass UP,class:auto,1375,Empty Autoracks for Mexico Eagle Pass UP
UP,MEMN-##,Memphis Harris,leaving,Misc UP IM for sorting at Marion,,,class:im,1435,Misc UP IM for sorting at Marion
UP,MEMN-##,Memphis Harris,leaving,Dolores/ICTF IM,,,id:1001 class:im,1435,
UP,MEMN-##,Memphis Harris,leaving,Marion,,Autoracks for sorting at Marion,class:auto,1435,sorting at Marion
UP,SEBA-##,Seattle Argo,leaving,Portland Barnes IM,,,id:2137 id:3275 class:im,1481,
UP,BASE-##,"Barnes, grouped by destination in each block",leaving,"Seattle Argo, Seattle Harbor Island IM",,,class:im,,"Seattle Argo, Seattle Harbor Island"
UP,BASE-##,"Barnes, grouped by destination in each block",leaving,Tacoma IM,,,id:1502 id:1503 id:1554 id:1555 id:2626 id:2710 id:2711 id:2712 id:2714 id:3286 id:3287 id:3288 class:im,,
UP,G4SIB-##,"Global 4, grouped by destination within each block",leaving,City of Industry,ISALB,,id:1095,,
UP,G4SIB-##,"Global 4, grouped by destination within each block",leaving,Tuscon IM,MHNPX,,id:1477 class:im,,
UP,G4SIB-##,"Global 4, grouped by destination within each block",leaving,Terminal Island,ILBNS1/2/3,"Terminal Island ITCF, Long Beach Hanjin, APM, Pier 400, Global South",id:1146 id:3098 id:1149 id:3101 id:1152 id:1152 id:1163 id:3099,,
UP,G4SIB-##,"Global 4, grouped by destination within each block",leaving,Long Beach,ILBNS1/2/3,"Long Beach ITF, Long Beach Pacific Container Terminal, Long Beach Pier A",id:2515 id:3094 id:2514 id:3093 id:2517 id:3091,,
UP,G4SIB-##,"Global 4, grouped by destination within each block",leaving,LA Harbor,ILBNS1/2/3,,id:1103 id:1090,,
UP,G4SIB-##,"Global 4, grouped by destination within each block",leaving,Dolores ICTF,ILBNS1/2/3,,id:1001,,
UP,G4SIB-##,Neff,created at,Houston IM,,"Houston Settegast, Houston Barbour's Cut",id:3480 id:1812 id:2528 id:3780,,
UP,LAMQB-##,East LA,leaving,Mesquite IM,,,id:1845 class:im,,
UP,LAMQB-##,East LA,leaving,Mesquite Autos,,,id:1845 class:auto,,
UP,LAMQB-##,East LA,leaving,Midlothian Autos,YMY59,,id:2031 id:2032 id:2364 class:auto,,
UP,G3AH-##,"Global 3, grouped by destination",leaving,NS Ashland,,"Toledo Airline OH, Jersey City Croxton, Harrisburg, Morrisville, Columbus NS, Norfolk, Misc NS Northeast IM",id:1108 id:1476 id:1911 id:1447 id:1639 id:1453 id:3558 id:3559 id:3561 region:NS:A1 region:NS:A2 region:NS:A3 class:im,,Toledo Airline OH
UP,G4G3-##,"Global 4, grouped by destination",leaving,NS Ashland,IG3AH,IG3AH destinations,,,IG3AH destinations
UP,G4G3-##,"Global 4, grouped by destination",leaving,CSX Barr,IG3SK,"Jersey City Kearney, NW Ohio ICTF, Chambersburg, Other CSX Northeast",id:3294 id:3600 id:1674,,NW Ohio ICTF; Other CSX Northeast
UP,G4AH-##,"Global 4, grouped by destination within each block",leaving,NS Northeast,,"Harrisburg, Columbus NS, Suffolk, Norfolk, Morrisville, Mechanicville, Jersey City Croxton, Toledo Airline, Misc NS Northeast IM",id:1476 id:1447 id:1639 id:1453 id:2275 id:2276 id:2277 id:3558 id:3559 id:3561 id:1911 id:2057 id:1108 region:NS:A1 region:NS:A2 region:NS:A3 class:im,,Toledo Airline
UP,G3SK%-##,"Global 3, with IM grouped by destination",leaving,CSX IM,,"Kearny NJ, Louisville Osborne, Detroit Livernois CSX, Springfield MA, Worchester, Northwest Ohio IM OH, Columbus OH, Chambersburg PA Misc Northeast CSX, Southeast CSX",id:2097 id:2104 class:im id:1453 id:1684 id:2049 id:2158 id:2433 id:2435,,Kearny NJ; Louisville Osborne; Worchester; Northwest Ohio IM OH; Chambersburg PA Misc Northeast CSX; Southeast CSX
UP,G3SK%-##,"Global 3, with IM grouped by destination",leaving,CSX reefer traffic for NJ,,,,,CSX reefer traffic for NJ
UP,G3SK%-##,"Global 3, with IM grouped by destination",leaving,Selkirk manifest,,,id:1111 id:3218 id:3918,,
UP,MNDU%-##,"Marion, grouped by destination in each block",leaving,North Platte IM,ZDUNP,"Lathrop, Oakland, Salt Lake City, Seattle, Tacoma, Portland T6, Portland Brooklyn, Council Bluffs",id:1857 id:1566 id:2237 id:1009 id:1325 id:2361 id:2362 id:3755 id:1481 id:1538 id:1803 id:2008 id:1502 id:1503 id:1554 id:1555 id:2626 id:2710 id:2711 id:2712 id:2714 id:3286 id:3287 id:3288 id:1866 id:1107 id:1115 id:1767 id:1768 id:2583 id:2584 id:3064,,Portland T6
UP,MNDU%-##,"Marion, grouped by destination in each block",leaving,KC Neff Baretables,ZDUNP,,,,KC Neff Baretables
UP,MNDU%-##,"Marion, grouped by destination in each block",leaving,Dupo,,"Dupo IM, Avon IM->MDUIN",id:1578 class:im id:1611 id:3733 class:im,,
UP,G4SI%-##,"Global 4, grouped by destination within each block",leaving,City of Industry,ISILB3,,id:1095,,
UP,G4SI%-##,"Global 4, grouped by destination within each block",leaving,Tuscon IM,MHNPX,,id:1477 class:im,,
UP,G4SI%-##,"Global 4, grouped by destination within each block",leaving,Terminal Island,ILBNS1/2/3,"LA TICTF, LA Pier 400, LA Global South, Long Beach Pier T",id:1146 id:3098 id:1152 id:3100 id:1163 id:3099 id:1149 id:3101,,
UP,G4SI%-##,"Global 4, grouped by destination within each block",leaving,Long Beach,ILBNS1/2/3,"Long Beach ITS, Long Beach PCT, Long Beach Terminal A",id:2515 id:3094 id:2514 id:3093 id:2517 id:3091,,
UP,G4SI%-##,"Global 4, grouped by destination within each block",leaving,LA Harbor,ILBNS1/2/3,"TRAPAC [TriPac], West Basin",id:3104 id:3102 id:3103,,
UP,G4SI%-##,"Global 4, grouped by destination within each block",leaving,Dolores ICTF,ILBNS1/2/3,,id:1001,,
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,Mesquite,ZLAMQ,,id:1845,,
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,LATC,,,id:1203,,
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,Bremerton,,PSAP IM,rr:PSAP class:im,,
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,Global 4,ZBRG2/YPD81,,id:2183,,
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,"Northwest Ohio ICTF, South Kearney, W. Springfield, Chambersburg, Misc CSX Northeast",ZBRG2,,,,"Northwest Ohio ICTF, South Kearney, W. Springfield, Chambersburg, Misc CSX Northeast"
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,"Harrisburg, Jersey City Croxton, Cleveland Heights, Mechanicville, Misc NS Northeast",ZBRG2,,,,"Harrisburg, Jersey City Croxton, Cleveland Heights, Mechanicville, Misc NS Northeast"
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,"KC Neff, Dupo, Marion",ZBRG2/YPD81,,,,"KC Neff, Dupo, Marion"
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,"Port Laredo, Austell, Huntsville, Charleston IMF, Misc NS Southeast, Fairburn, Misc CSX Southeast",ZBRG2,,,,"Port Laredo, Austell, Huntsville, Charleston IMF, Misc NS Southeast, Fairburn, Misc CSX Southeast"
UP,SELC-##,"Seattle, grouped by destination within each block",leaving,Council Bluffs,ZBRG2,,id:1107 id:1115 id:1767 id:1768 id:2583 id:2584 id:3064,,
UP,G2LT%-##,Global 2,leaving,Lathrop,,53' containers,class:im,1595,
UP,LALA-##,East LA,leaving,LATC IM/baretables,,,class:im,,LATC IM/baretables
UP,LALA-##,East LA,leaving,Lathrop,ZLCLT,"Lathrop IM, Oakland IM",id:1857 class:im id:3767 class:im,,
UP,LALA-##,East LA,leaving,Portland Brooklyn IM,ZLCTM,,id:1866 class:im,,
UP,LALA-##,East LA,leaving,City of Industry 53' baretables,LOZ,,,,City of Industry 53' baretables
UP,LALA-##,East LA,leaving,Oxnard/Pt. Hueme Autos,LOF49,,id:1303 class:auto,,
UP,LALA-##,LATC,leaving,East LA IM,,,id:1588 class:im,,
UP,LALA-##,LATC,leaving,Mesquite IM,ZLAMQ,,id:1845 class:im,,
UP,TUAS%-##,Tuscon,leaving,Global 4 IM,ISLG4,"Global 4 IM, Austell IM, NS Northeast IM, CSX Northeast IM",id:2183 class:im id:1244 class:im region:NS:A1 region:NS:A2 region:NS:A3 class:im region:CSX:A class:im,,
UP,TUAS%-##,Tuscon,leaving,Santa Teresa,,"Santa Teresa IM, Austell IM->ILBNS",id:1403 class:im id:1244 class:im,,
UP,TUAS%-##,Tuscon,leaving,ALS,,"St Louis area, MER, ALS, DREI, Tuscola UP/Shelbyville IL/Villa Grove/Royal IL",id:1120 id:1212 id:1004 rr:MER rr:ALS rr:DREI id:2810 id:2812 id:2811 id:2813,,
UP,TUAS%-##,Tuscon,leaving,NS autoracks  northeast,MTPNS,,class:auto,,NS autoracks  northeast
UP,TUAS%-##,Tuscon,leaving,Council Bluffs,MHNCB,"OLB, NE, IA, MN, WI, CPKC SK, ND, SD, CPKC Regions 2/3/DMVW/RRVW, CN MB/Thunder Bay ON",rr:OLB st:NE st:IA st:MN st:WI rr:CPKC:SK st:ND st:SD region:CPKC:2 region:CPKC:3 rr:DMVW rr:RRVW,,CN MB/Thunder Bay ON
UP,TUAS%-##,Santa Teresa,created at,KC Neff IM,,Kansas City Neff IM,id:1301 class:im,1403,
UP,TUAS%-##,Herington,created at,KS ALS,,"All CSX, St Louis, ALS, TRRA, MER, Chicago UP, WSOR, CPKC Region 1, CN IL/Eastern US, CN Canada East of Thunder Bay ON, BNSF IL",all:CSX id:1004 id:1277 id:1562 id:1736 id:2045 id:2174 id:2391 id:3617 rr:ALS rr:TRRA rr:MER id:2038 rr:WSOR region:CPKC:1 region:CN:East_of_Thunder_Bay rr:BNSF:IL,3170,CN IL/Eastern US
UP,G4SE-##,"Global 4, grouped by destination within each block",leaving,Council Bluffs,,"Council Bluffs IM ->MCHCB, Twin Cities TCIT IM->MNPAL",id:1107 id:1115 id:1767 id:1768 id:2583 id:2584 id:3064 class:im class:im,,Twin Cities TCIT
UP,G4SE-##,"Global 4, grouped by destination within each block",leaving,North Platte,,"Portland Brooklyn ->ZG2BR, Oakland UP, Salt Lake ->INPOA, Denver ->MNPDV",id:1866 id:1566 id:1009 id:1325 id:2361 id:2362 id:3755 id:1718 id:1769 id:1770 id:1800 id:1976 id:1977 id:1978 id:1979 id:1980 id:1981 id:2407,,
UP,G4SE-##,"Global 4, grouped by destination within each block",leaving,Pocatello IM,,,id:1843 class:im,,
