railroad,symbol,yard_id,yard,verb,block
CPKC,238-##,3761,Ayr Wolverton Yard,pick up,Buffalo Empty Autos
CPKC,239-##,3761,Ayr Wolverton Yard,set out,Wolverton Autos
CPKC,261-##,3511,Muscatine Luke Yard,set out,Muscatine
CPKC,261-##,3511,Muscatine Luke Yard,set out,Ottumwa
CPKC,261-##,3511,Muscatine Luke Yard,pick up,Nahant
CPKC,261-##,2128,Davenport Nahant Yard CPKC,set out,Nahant
CPKC,261-##,2128,Davenport Nahant Yard CPKC,set out,Bensenville
CPKC,261-##,2128,Davenport Nahant Yard CPKC,pick up,La Crosse
CPKC,261-##,2128,Davenport Nahant Yard CPKC,pick up,St. Paul
CPKC,256-##,2392,Bossier City,set out,Laredo
CPKC,256-##,2392,Bossier City,set out,Mexico Laredo
CPKC,256-##,2392,Bossier City,set out,KCIFG
CPKC,256-##,2392,Bossier City,set out,Bensenville
CPKC,256-##,2392,Bossier City,set out,Minneapolis Intermodal
CPKC,256-##,2392,Bossier City,pick up,Meridian Interchange
CPKC,256-##,2392,Bossier City,pick up,Jackson Interchange
CPKC,256-##,2392,Bossier City,pick up,and Jackson
CPKC,256-##,1280,Jackson High Oak Yard,set out,New Orleans Intermodal
CPKC,256-##,1280,Jackson High Oak Yard,set out,Jackson Interchange
CPKC,256-##,1280,Jackson High Oak Yard,set out,Jackson
CPKC,256-##,1280,Jackson High Oak Yard,pick up,Austell Intermodal
CPKC,256-##,1280,Jackson High Oak Yard,pick up,Meridian
CPKC,256-##,1280,Jackson High Oak Yard,pick up,Meridian Interchange
CPKC,257-##,1280,Jackson High Oak Yard,set out,Jackson
CPKC,257-##,1280,Jackson High Oak Yard,pick up,Shreveport
CPKC,257-##,1280,Jackson High Oak Yard,pick up,Wylie Intermodal
CPKC,257-##,1280,Jackson High Oak Yard,pick up,and Wylie Manifest
CPKC,257-##,2392,Bossier City,set out,Shreveport Manifest
CPKC,257-##,2392,Bossier City,set out,Laredo Intermodal
CPKC,257-##,2392,Bossier City,set out,Mexico Laredo Intermodal
CPKC,257-##,2392,Bossier City,pick up,Wylie Autos
CPKC,257-##,2392,Bossier City,pick up,Manifest
CPKC,257-##,2392,Bossier City,pick up,and Intermodal
CPKC,253-##,1250,Heavener,set out,Heavener
CPKC,253-##,1250,Heavener,pick up,Kansas City
CPKC,253-##,1227,Kansas City Knoche Yard CPKC,set out,Kansas City
CPKC,253-##,1227,Kansas City Knoche Yard CPKC,pick up,Muscatine
CPKC,253-##,1227,Kansas City Knoche Yard CPKC,pick up,Ottumwa
CPKC,253-##,1227,Kansas City Knoche Yard CPKC,pick up,Nahant
CPKC,253-##,1227,Kansas City Knoche Yard CPKC,pick up,St. Paul
CPKC,253-##,1227,Kansas City Knoche Yard CPKC,pick up,Bensenville
CPKC,253-##,1227,Kansas City Knoche Yard CPKC,pick up,and Bensenville Autos
CPKC,253-##,3511,Muscatine Luke Yard,set out,Muscatine
CPKC,253-##,3511,Muscatine Luke Yard,set out,Ottumwa
CPKC,253-##,3511,Muscatine Luke Yard,pick up,Nahant
CPKC,253-##,2128,Davenport Nahant Yard CPKC,set out,Nahant
CPKC,253-##,2128,Davenport Nahant Yard CPKC,set out,St. Paul
CPKC,253-##,2128,Davenport Nahant Yard CPKC,pick up,Bensenville
CPKC,230-##,2429,Windsor Walkerville,set out,Windsor
CPKC,230-##,2429,Windsor Walkerville,set out,Windsor Autos
CPKC,230-##,2429,Windsor Walkerville,pick up,Toronto
CPKC,230-##,2429,Windsor Walkerville,pick up,St. Luc
CPKC,230-##,1516,Toronto Yard CPKC,set out,Toronto
CPKC,230-##,1516,Toronto Yard CPKC,set out,Toronto Autos
CPKC,230-##,1516,Toronto Yard CPKC,set out,and Alliston Empty Autos
CPKC,230-##,1516,Toronto Yard CPKC,pick up,St. Luc
CPKC,230-##,1516,Toronto Yard CPKC,pick up,St. Luc Autos
CPKC,340-##,1540,St. Paul Pig's Eye Yard,set out,Pig's Eye
CPKC,418-##,1600,Calgary Alyth Yard,set out,Alyth
CPKC,418-##,1600,Calgary Alyth Yard,pick up,Lambton Park
CPKC,419-##,1600,Calgary Alyth Yard,set out,Alyth
CPKC,419-##,1600,Calgary Alyth Yard,pick up,Lethbridge
CPKC,419-##,3957,Coalhurst Kipp Yard,pick up,Golden
CPKC,419-##,3957,Coalhurst Kipp Yard,pick up,UP Spokane
CPKC,419-##,1415,Fort Steele,set out,Golden
CPKC,400-##,2713,Kamloops CPKC Yard,set out,Kamloops
CPKC,400-##,2713,Kamloops CPKC Yard,pick up,Alyth
CPKC,400-##,1751,Golden,set out,Golden
CPKC,400-##,1751,Golden,pick up,Alyth
CPKC,401-##,1751,Golden,set out,Golden
CPKC,401-##,1751,Golden,pick up,Coquitlam
CPKC,401-##,2713,Kamloops CPKC Yard,set out,Kamloops
CPKC,401-##,2713,Kamloops CPKC Yard,set out,Kamloops Empty Centerbeams
CPKC,401-##,2713,Kamloops CPKC Yard,pick up,Coquitlam
CPKC,410-##,1599,Swift Current,set out,Swift Current
CPKC,410-##,1599,Swift Current,pick up,Moose Jaw
CPKC,410-##,1599,Swift Current,pick up,St. Luc
CPKC,410-##,1599,Swift Current,pick up,and Winnipeg
CPKC,410-##,1650,Moose Jaw,set out,Moose Jaw
CPKC,410-##,1650,Moose Jaw,pick up,Winnipeg
CPKC,410-##,1598,Regina CPKC Yard,set out,Regina
CPKC,410-##,1598,Regina CPKC Yard,pick up,Winnipeg
CPKC,410-##,4028,Brandon Yard CPKC,set out,Brandon
CPKC,410-##,4028,Brandon Yard CPKC,pick up,Winnipeg
CPKC,411-##,4028,Brandon Yard CPKC,set out,Brandon
CPKC,411-##,4028,Brandon Yard CPKC,pick up,Alyth
CPKC,411-##,4028,Brandon Yard CPKC,pick up,Moose Jaw
CPKC,411-##,1598,Regina CPKC Yard,set out,Regina
CPKC,411-##,1598,Regina CPKC Yard,pick up,Carseland
CPKC,411-##,1598,Regina CPKC Yard,pick up,Alyth
CPKC,411-##,1598,Regina CPKC Yard,pick up,and Moose Jaw
CPKC,411-##,1650,Moose Jaw,set out,Moose Jaw
CPKC,411-##,1650,Moose Jaw,pick up,Swift Current
CPKC,411-##,1650,Moose Jaw,pick up,Carseland
CPKC,411-##,1650,Moose Jaw,pick up,and Alyth
CPKC,411-##,1599,Swift Current,set out,Swift Current
CPKC,411-##,1599,Swift Current,pick up,Alyth
CPKC,411-##,1643,Carseland,set out,Carseland
CPKC,421-##,1815,Sudbury CPKC,set out,Sudbury
CPKC,421-##,1815,Sudbury CPKC,pick up,Thunder Bay
CPKC,421-##,1815,Sudbury CPKC,pick up,Winnipeg
CPKC,421-##,1496,Thunder Bay CPKC Yard,set out,Thunder Bay
CPKC,421-##,1496,Thunder Bay CPKC Yard,pick up,Winnipeg
CPKC,421-##,1496,Thunder Bay CPKC Yard,pick up,Winnipeg Empty Grain
CPKC,412-##,1657,Hardisty,pick up,Wilkie
CPKC,412-##,1657,Hardisty,pick up,Sutherland
CPKC,412-##,1657,Hardisty,pick up,and Thunder Bay Grain Export
CPKC,412-##,3622,Wilkie,set out,Wilkie
CPKC,412-##,3622,Wilkie,pick up,Sutherland
CPKC,416-##,1415,Fort Steele,pick up,Lethbridge
CPKC,445-##,2227,Enderlin CPKC,set out,Enderlin
CPKC,445-##,2227,Enderlin CPKC,pick up,Alyth
CPKC,445-##,2227,Enderlin CPKC,pick up,Moose Jaw
CPKC,445-##,1650,Moose Jaw,set out,Moose Jaw
CPKC,445-##,1650,Moose Jaw,pick up,Alyth
CPKC,444-##,1650,Moose Jaw,pick up,Enderlin
CPKC,444-##,1650,Moose Jaw,pick up,St. Paul
CPKC,444-##,2227,Enderlin CPKC,set out,Enderlin
CPKC,444-##,2227,Enderlin CPKC,pick up,St. Paul
CPKC,413-##,3622,Wilkie,set out,Wilkie
CPKC,413-##,3622,Wilkie,pick up,Hardisty
CPKC,413-##,3622,Wilkie,pick up,Alyth
CPKC,413-##,1657,Hardisty,set out,Hardisty
CPKC,413-##,1657,Hardisty,pick up,Alyth
CPKC,417-##,1415,Fort Steele,set out,Golden
CPKC,420-##,1496,Thunder Bay CPKC Yard,set out,Thunder Bay Grain
CPKC,420-##,1496,Thunder Bay CPKC Yard,set out,Thunder Bay
CPKC,420-##,1496,Thunder Bay CPKC Yard,pick up,Toronto
CPKC,420-##,1496,Thunder Bay CPKC Yard,pick up,Sudbury
CPKC,420-##,1815,Sudbury CPKC,set out,Sudbury
CPKC,456-##,1463,Cottage Grove,set out,Cottage Grove
CPKC,456-##,1217,La Crosse CPKC Yard,set out,La Crosse
CPKC,457-##,1217,La Crosse CPKC Yard,pick up,Pig's Eye
CPKC,457-##,1463,Cottage Grove,pick up,Pig's Eye
CPKC,448-##,1533,Calgary Shepard IM,set out,Calgary Intermodal
CPKC,448-##,1533,Calgary Shepard IM,pick up,Minneapolis
CPKC,448-##,1533,Calgary Shepard IM,pick up,Bensenville Intermodal
CPKC,448-##,1671,Minneapolis Shoreham Yard,set out,Minneapolis Intermodal
CPKC,448-##,1671,Minneapolis Shoreham Yard,pick up,Bensenville Intermodal
CPKC,928-##,1357,Saratoga Springs,pick up,NS Interchange
CPKC,929-##,1117,Schenectady Mohawk Yard,set out,Schenectady
CPKC,929-##,1357,Saratoga Springs,set out,Saratoga Springs
CPKC,A71-##,1854,Vancouver Intermodal Facility CPKC,pick up,Roberts Bank Intermodal
CPKC,A70-##,1854,Vancouver Intermodal Facility CPKC,set out,Vancouver
CPKC,A70-##,1854,Vancouver Intermodal Facility CPKC,set out,Minneapolis
CPKC,A70-##,1854,Vancouver Intermodal Facility CPKC,set out,Bensenville
CPKC,A70-##,1854,Vancouver Intermodal Facility CPKC,set out,and Detroit Intermodal
CPKC,A52-##,1619,Kamloops Benledi,pick up,Kamloops
CPKC,A54-##,3508,New Westminster CPKC Dock Yard,pick up,Coquitlam
CPKC,A54-##,3508,New Westminster CPKC Dock Yard,pick up,Alyth Autos
CPKC,A54-##,3508,New Westminster CPKC Dock Yard,pick up,Toronto Autos
CPKC,A54-##,3508,New Westminster CPKC Dock Yard,pick up,and St. Luc Autos
CPKC,A87-##,3508,New Westminster CPKC Dock Yard,set out,New Westminster
CPKC,A87-##,3508,New Westminster CPKC Dock Yard,pick up,Coquitlam
CPKC,F19-##,3916,Winnipeg North Transcona Yard,set out,CEMR Interchange
CPKC,F19-##,3916,Winnipeg North Transcona Yard,pick up,CPKC Interchange
CPKC,H25-##,1370,Toronto Lambton Yard,pick up,Toronto
CPKC,H19-##,3875,Oshawa South Yard,set out,Oshawa Autos
CPKC,H19-##,3875,Oshawa South Yard,pick up,Toronto Loaded Autos
CPKC,H88-##,3761,Ayr Wolverton Yard,set out,Wolverton
CPKC,H88-##,3761,Ayr Wolverton Yard,pick up,Windsor
CPKC,J42-##,1671,Minneapolis Shoreham Yard,pick up,St. Paul
CPKC,J42-##,1671,Minneapolis Shoreham Yard,pick up,Wylie IM
CPKC,J42-##,1671,Minneapolis Shoreham Yard,pick up,Laredo IM
CPKC,J42-##,1671,Minneapolis Shoreham Yard,pick up,Mexico Laredo IM
CPKC,J42-##,1671,Minneapolis Shoreham Yard,pick up,and KC IFG IM
CPKC,JS21-##,2465,Superior Stinson Yard,set out,Superior
CPKC,JS21-##,2465,Superior Stinson Yard,pick up,Duluth
CPKC,I41-##,1595,Chicago Proviso Yard,set out,UP Interchange
CPKC,I52-##,1055,Chicago Calumet Yard,set out,Chattanooga
CPKC,I52-##,1055,Chicago Calumet Yard,set out,Calumet
CPKC,IM21-##,1707,Ackerville,set out,WSOR Interchange
CPKC,IM21-##,1707,Ackerville,pick up,CPKC Interchange
CPKC,I54-##,1055,Chicago Calumet Yard,set out,Calumet Intermodal
CPKC,I54-##,1055,Chicago Calumet Yard,pick up,CPKC Intermodal
CPKC,J20-##,1463,Cottage Grove,set out,Cottage Grove
CPKC,J19-##,1463,Cottage Grove,pick up,Pig's Eye
CPKC,J15-##,1391,St. Paul Midway Yard,set out,MNNR Interchange
CPKC,J15-##,1593,Minneapolis Northtown Yard,set out,BNSF Interchange
CPKC,J16-##,1176,St. Paul Hoffman Yard UP,set out,UP Interchange
CPKC,J16-##,2356,Shakopee Valley Park Yard,set out,Valley Park
CPKC,J16-##,2356,Shakopee Valley Park Yard,pick up,Pig's Eye
CPKC,I41-##,1098,Chicago Argo,set out,IHB Interchange
CPKC,GH02-##,1928,Port of Montreal,set out,POM
CPKC,GH02-##,1928,Port of Montreal,pick up,St. Luc
CPKC,GH01-##,1928,Port of Montreal,set out,POM Intermodal
CPKC,GH01-##,1928,Port of Montreal,pick up,Lachine Intermodal
CPKC,G94-##,1780,Montreal Lachine Yard,set out,Lachine Intermodal
CPKC,G94-##,1780,Montreal Lachine Yard,pick up,Chicago
CPKC,G94-##,1780,Montreal Lachine Yard,pick up,Detroit
CPKC,G94-##,1780,Montreal Lachine Yard,pick up,Saint John Intermodal
CPKC,G44-##,1117,Schenectady Mohawk Yard,set out,Schenectady Interchange
CPKC,G44-##,1117,Schenectady Mohawk Yard,pick up,Saratoga Springs
CPKC,G45-##,3178,Albany Kenwood Yard,set out,Albany
CPKC,G45-##,3178,Albany Kenwood Yard,pick up,Saratoga Springs
CPKC,G41-##,1111,Selkirk Yard,set out,Selkirk Interchange
CPKC,G41-##,1111,Selkirk Yard,pick up,Albany Interchange
CPKC,G15-##,1123,Brownville Jct,set out,Brownville Junction
CPKC,G15-##,1123,Brownville Jct,pick up,Northern Maine Junction
CPKC,G15-##,1123,Brownville Jct,pick up,NMJ Interchange
CPKC,G20-##,2268,Sherbrooke,set out,outbounds
CPKC,G20-##,2268,Sherbrooke,set out,pick up SLQ Interchange
CPKC,G20-##,2269,Lennoxville,set out,SLQ Interchange
CPKC,G20-##,2269,Lennoxville,pick up,CPKC Interchange
CPKC,576-##,2142,Winnipeg Logan Yard,pick up,Pig's Eye
CPKC,576-##,1540,St. Paul Pig's Eye Yard,set out,Pig's Eye
CPKC,641-3##,2142,Winnipeg Logan Yard,pick up,Brandon Manifest
CPKC,640-3##,2142,Winnipeg Logan Yard,set out,Winnipeg Manifest
CPKC,B22-##,1657,Hardisty,set out,Hardisty
CPKC,B22-##,1657,Hardisty,pick up,Alyth
CPKC,C04-##,1643,Carseland,set out,Carseland Empty Grain
CPKC,D65-##,2792,Lloydminster Husky Upgrader CPKC,set out,Husky Upgrader
CPKC,D65-##,2792,Lloydminster Husky Upgrader CPKC,pick up,Lloydminster
CPKC,D66-##,2792,Lloydminster Husky Upgrader CPKC,set out,Husky Upgrader
CPKC,D66-##,2792,Lloydminster Husky Upgrader CPKC,pick up,Wilkie
CPKC,D64-##,2792,Lloydminster Husky Upgrader CPKC,set out,Lloydminster Viterra
CPKC,D43-##,2432,Saskatoon Viterra CPKC,set out,Viterra
CPKC,BC06-##,2685,East Edmonton,pick up,Lambton Park
CPKC,BC06-##,1816,Edmonton Lambton Park Yard,set out,Lambton Park
CPKC,D67-##,2432,Saskatoon Viterra CPKC,set out,Viterra Grain
CPKC,E44-##,1650,Moose Jaw,set out,Moose Jaw
CPKC,E44-##,1650,Moose Jaw,pick up,Regina
CPKC,A19-##,1415,Fort Steele,pick up,Golden
CPKC,L26-##,1251,Texarkana,set out,Texarkana
CPKC,L26-##,1251,Texarkana,pick up,Deramus
CPKC,L60-##,1422,New Orleans Mays Yard,set out,Mays
CPKC,L60-##,1902,Reserve CPKC,set out,Reserve
CPKC,L44-##,1972,Vicksburg,set out,VSOR Interchange
CPKC,L44-##,1972,Vicksburg,pick up,CPKC Interchange
CPKC,L49-##,2392,Bossier City,pick up,outbound traffic and
CPKC,L52-##,3710,Columbus Steel Dynamics CPKC,set out,Arbela
CPKC,L52-##,3710,Columbus Steel Dynamics CPKC,pick up,Artesia
CPKC,L60-##,1902,Reserve CPKC,pick up,Shrewsbury
CPKC,L60-##,1422,New Orleans Mays Yard,pick up,Shrewsbury
CPKC,L66-##,2301,Baton Rouge D Line,set out,D Line
CPKC,L66-##,2301,Baton Rouge D Line,pick up,Baton Rouge
CPKC,L51-##,3709,Artesia,set out,traffic from Porterville
CPKC,L51-##,3709,Artesia,set out,Pick up Meridian
CPKC,L51-##,1286,Meridian North Yard,set out,Meridian
CPKC,L51-##,1286,Meridian North Yard,pick up,Artesia
CPKC,L23-##,1729,Texarkana,set out,Texarkana UP Interchange
CPKC,L18-##,1987,Westlake CPKC,set out,Westlake
CPKC,L18-##,1987,Westlake CPKC,pick up,Deramus
CPKC,734-0##,3761,Ayr Wolverton Yard,set out,Cambridge
CPKC,734-0##,3761,Ayr Wolverton Yard,set out,Woodstock Empty Auto
CPKC,732-##,2429,Windsor Walkerville,pick up,Toronto Auto
CPKC,732-##,3761,Ayr Wolverton Yard,set out,Wolverton Auto
CPKC,732-##,3761,Ayr Wolverton Yard,pick up,Toronto Auto
CPKC,781-##,2336,Kansas City International Freight Gateway,set out,KC IFG Autos
CPKC,781-##,2336,Kansas City International Freight Gateway,pick up,Bensenville Autos
CPKC,780-##,2336,Kansas City International Freight Gateway,set out,KC IFG Empty Autos
CPKC,780-##,2336,Kansas City International Freight Gateway,pick up,Mexico Laredo Empty Autos
CPKC,731-##,2429,Windsor Walkerville,pick up,Bensenville Autos
CPKC,731-##,2429,Windsor Walkerville,pick up,Gibson Autos
CPKC,731-##,1863,Hammond Gibson Yard,set out,Gibson Autos
CPKC,731-##,1863,Hammond Gibson Yard,pick up,Bensenville Autos
CPKC,M75-##,1879,Houston PTRA North Yard,set out,Houston PTRA Interchange
CPKC,M75-##,1879,Houston PTRA North Yard,pick up,Kendleton
CPKC,K73-##,2375,Rock Island IAIS,set out,Rock Island Interchange
CPKC,KK12-##,1229,Kansas City 18th St. Yard UP,set out,UP Interchange
CPKC,KK12-##,1229,Kansas City 18th St. Yard UP,pick up,CPKC Interchange
CPKC,KK20-##,1620,Kansas City Argentine Yard,set out,BNSF Interchange
CPKC,KK20-##,1620,Kansas City Argentine Yard,pick up,CPKC Interchange
CPKC,K76-##,3511,Muscatine Luke Yard,set out,Muscatine
CPKC,K76-##,3511,Muscatine Luke Yard,pick up,Nahant
CPKC,K10-##,3398,Mexico CPKC,set out,OVRR Interchange
CPKC,KK09-##,2336,Kansas City International Freight Gateway,pick up,outbound traffic
CPKC,KK09-##,2336,Kansas City International Freight Gateway,pick up,CSX
CPKC,KK09-##,2336,Kansas City International Freight Gateway,pick up,E. St. Louis Intermodal
CPKC,KK12-##,2590,Kansas City Avondale Yard,set out,NS Interchange
CPKC,KK12-##,2590,Kansas City Avondale Yard,pick up,CPKC Interchange
CPKC,KE30-##,1120,E. St. Louis Rose Lake Yard,set out,CSX Interchange
CPKC,KE30-##,1120,E. St. Louis Rose Lake Yard,pick up,CPKC Interchange
CPKC,K73-##,2375,Rock Island IAIS,pick up,outbound traffic from CPKC served industries
CPKC,K73-##,2375,Rock Island IAIS,pick up,Pick up CPKC Interchange
CPKC,K47-##,2125,Mason City CPKC,set out,Mason City
CPKC,K47-##,2125,Mason City CPKC,pick up,Tracy
CSX,I198-##,1261,Fairburn,pick up,Savannah
CSX,I198-##,1261,Fairburn,pick up,Savannah Ocean
CSX,I198-##,1261,Fairburn,pick up,Charleston IM
CSX,I157-##,1474,Philadelphia Greenwich Yard,set out,Philadelphia
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,set out,Kearny
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,CN Montreal IM
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Pick Up Bedford Park
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Buffalo IM
CSX,I157-##,1860,Buffalo Seneca Yard,set out,Buffalo
CSX,I119-##,1002,W. Springfield,pick up,Northwest Ohio
CSX,I119-##,1002,W. Springfield,pick up,City of Industry
CSX,I119-##,1002,W. Springfield,pick up,Rose Lake
CSX,I119-##,1002,W. Springfield,pick up,Avon
CSX,I119-##,1002,W. Springfield,pick up,Buffalo
CSX,I119-##,1002,W. Springfield,pick up,Syracuse IM
CSX,I119-##,1002,W. Springfield,set out,N Bergen IM
CSX,I129-##,1805,Birmingham Boyles Yard,pick up,Fairburn
CSX,I129-##,1805,Birmingham Boyles Yard,pick up,Savannah
CSX,I129-##,1805,Birmingham Boyles Yard,pick up,Charleston
CSX,I137-##,1208,Charleston Bennett Yard,set out,Charleston
CSX,I137-##,1208,Charleston Bennett Yard,set out,Pick Up Savannah
CSX,I137-##,1208,Charleston Bennett Yard,set out,Nashville
CSX,I137-##,1208,Charleston Bennett Yard,set out,Bessemer
CSX,I137-##,1208,Charleston Bennett Yard,set out,Memphis
CSX,I137-##,1208,Charleston Bennett Yard,set out,Fairburn
CSX,I137-##,1208,Charleston Bennett Yard,set out,Jacksonville
CSX,I137-##,1208,Charleston Bennett Yard,set out,and Jaxport IM
CSX,I137-##,1388,Savannah CSX Yard,set out,IM except FEC
CSX,I137-##,1388,Savannah CSX Yard,set out,Winter Haven
CSX,I137-##,1388,Savannah CSX Yard,set out,Jacksonville
CSX,I137-##,1388,Savannah CSX Yard,set out,Pick Up Winter Haven
CSX,I137-##,1388,Savannah CSX Yard,set out,Jacksonville
CSX,I137-##,1388,Savannah CSX Yard,set out,North Bergen IM
CSX,I157-##,1474,Philadelphia Greenwich Yard,set out,Philadelphia
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,set out,Kearny
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,CN Montreal
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Toronto IM
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Pick Up Buffalo
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,City of Industry IM
CSX,I157-##,1860,Buffalo Seneca Yard,set out,Buffalo
CSX,I132-##,1611,Avon,set out,Louisville IM
CSX,I132-##,1611,Avon,set out,Pick Up Detroit
CSX,I132-##,1765,Detroit Rougemere Yard,set out,Detroit
CSX,I155-##,1834,Chattanooga Wauhatchie CSX,pick up,UP Autorack
CSX,I187-##,1261,Fairburn,set out,Fairburn
CSX,I187-##,1261,Fairburn,set out,Jacksonville IM
CSX,I187-##,1261,Fairburn,pick up,Charlotte IM
CSX,I188-##,1261,Fairburn,set out,UP LATC IM
CSX,I188-##,1261,Fairburn,set out,Los Angeles Hobart IM
CSX,I188-##,1261,Fairburn,pick up,San Bernardino
CSX,I188-##,1261,Fairburn,pick up,Glendale IM
CSX,I138-##,1388,Savannah CSX Yard,pick up,Charlotte
CSX,I138-##,1388,Savannah CSX Yard,pick up,Dillion
CSX,I138-##,1388,Savannah CSX Yard,pick up,Charleston
CSX,I138-##,1208,North Charleston Bennett Yard,set out,Charleston IM
CSX,I138-##,1208,North Charleston Bennett Yard,set out,Pick up Charlotte
CSX,I138-##,1208,North Charleston Bennett Yard,set out,Dillion IM
CSX,I138-##,3144,Dillon,set out,Dillon
CSX,I157-##,2164,Baltimore Bay View CSX Yard,pick up,Philadelphia Greenwich IM
CSX,I157-##,1474,Philadelphia Greenwich Yard,set out,Philadelphia
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,set out,Kearny
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,CN Montreal
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Toronto IM
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Pick Up Buffalo
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,City of Industry IM
CSX,I157-##,1860,Buffalo Seneca Yard,set out,Buffalo
CSX,I131-##,1611,Avon,pick up,Laredo
CSX,I131-##,1611,Avon,pick up,Mexico
CSX,I131-##,1611,Avon,pick up,Santa Teresa IM
CSX,I137-##,3144,Dillon,set out,Dillion IM
CSX,I137-##,3144,Dillon,pick up,Charleston IM
CSX,I137-##,1208,Charleston Bennett Yard,set out,Charleston IM
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Savannah
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Savannah Switch
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Bessemer
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Nashville
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Memphis
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Fairburn
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Jaxport
CSX,I137-##,1208,Charleston Bennett Yard,pick up,Jacksonville Switch IM
CSX,I137-##,1388,Savannah CSX Yard,set out,IM Except FEC
CSX,I137-##,1388,Savannah CSX Yard,set out,FEC Miami
CSX,I137-##,1388,Savannah CSX Yard,set out,Winter Haven
CSX,I137-##,1388,Savannah CSX Yard,set out,Jacksonville
CSX,I137-##,1388,Savannah CSX Yard,set out,Jaxport IM
CSX,I137-##,1388,Savannah CSX Yard,pick up,Winter Haven
CSX,I137-##,1388,Savannah CSX Yard,pick up,Jacksonville
CSX,I137-##,1388,Savannah CSX Yard,pick up,North Bergen
CSX,I137-##,1388,Savannah CSX Yard,pick up,Long Beach Yusen IM
CSX,I138-##,1388,Savannah CSX Yard,set out,IM Except Charleston
CSX,I138-##,1388,Savannah CSX Yard,set out,Charlotte
CSX,I138-##,1388,Savannah CSX Yard,set out,Pick Up  Charleston
CSX,I138-##,1388,Savannah CSX Yard,set out,Charlotte
CSX,I138-##,1388,Savannah CSX Yard,set out,Dillon IM
CSX,I138-##,1208,North Charleston Bennett Yard,set out,Charleston IM
CSX,I138-##,1208,North Charleston Bennett Yard,set out,Pick up Charlotte
CSX,I138-##,1208,North Charleston Bennett Yard,set out,Dillion IM
CSX,I138-##,3144,Dillon,set out,Dillon
CSX,I138-##,1909,Monroe,pick up,Charlotte IM
CSX,I157-##,1474,Philadelphia Greenwich Yard,set out,Philadelpha IM
CSX,I157-##,1474,Philadelphia Greenwich Yard,pick up,Bedford Park
CSX,I157-##,1474,Philadelphia Greenwich Yard,pick up,Chicago 59th
CSX,I157-##,1474,Philadelphia Greenwich Yard,pick up,CN Montreal
CSX,I157-##,1474,Philadelphia Greenwich Yard,pick up,CN Toronto
CSX,I157-##,1474,Philadelphia Greenwich Yard,pick up,Buffalo
CSX,I157-##,1474,Philadelphia Greenwich Yard,pick up,Cincinnati
CSX,I157-##,1474,Philadelphia Greenwich Yard,pick up,Detroit IM
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,pick up,City of Industry
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,pick up,Columbus
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,pick up,UP Chicago Global 4 MTY
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,pick up,Northwest Ohio ICTF
CSX,I157-##,3294,Jersey City South Kearny Intermodal Terminal,pick up,BNSF Los Angeles IM
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Chicago 59th
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,CN Montreal
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,CN Toronto
CSX,I157-##,1625,Syracuse DeWitt Yard,set out,Buffalo IM
CSX,I157-##,1625,Syracuse DeWitt Yard,pick up,City of Industry IM
CSX,I157-##,1860,Buffalo Seneca Yard,set out,Buffalo
CSX,I157-##,2047,Northwest Ohio ICTF,set out,Intermodal Except Bedford Park
CSX,I157-##,2047,Northwest Ohio ICTF,set out,Pick Up Bedford Park
CSX,I157-##,2047,Northwest Ohio ICTF,set out,Fairburn
CSX,I157-##,2047,Northwest Ohio ICTF,set out,Savannah
CSX,I157-##,2047,Northwest Ohio ICTF,set out,Savannah Switch
CSX,I157-##,2047,Northwest Ohio ICTF,set out,Jacksonville Switch IM
CSX,I119-##,1002,W. Springfield,set out,North Bergen IM
CSX,I119-##,1002,W. Springfield,pick up,Northwest Ohio ICTF Switch
CSX,I119-##,1002,W. Springfield,pick up,City of Industry
